verb,transcriptionEn,category,meaning,translation,transcriptionRu
bang,/bæŋ/,IC,ударять частью тела о что-либо,"ударять, стучать, хлопать, грохать, бахать, бить, колотить, захлопывать, бухать, брякать, тузить, дубасить, тюкать, хлестнуть, барабанить, бабахнуть, ухать","udaˈr’at’, stuˈčat’, ˈxlopat’, ˈgroxat’, ˈbaxat’, b’it’, kalaˈt’it’, zaˈxlopыvat’, ˈbuxat’, ˈbr’akat’, ˈtuz’it’, duˈbas’it’, ˈt’ukat’, ˈxl’asnut’, baˈraban’it’, baˈbaxnut’, ˈuxat’"
bank,/bæŋk/,IC,"лететь одним крылом выше, чем другим, при повороте (самолета)","накреняться, (делать) вираж, крениться, уклоняться","nakr’in’aca, v’iraž, kr’in’ica, uklan’aca"
barge,/bɑːdʒ/,F,быстро проходить какое-либо место,"вваливаться, протискиваться, проталкиваться, переть, вламываться, приходить, уходить, двигаться, идти","vˈval’ivaca, praˈt’isk’ivaca, praˈtalk’ivaca, p’iˈr’ot’, vˈlamыvaca, pr’ixaˈd’it’, uxaˈd’it’, ˈdv’igaca, id’ˈt’i"
barrel,/ˈbær.əl/,F,быстро идти,"быстро (двигаться), нестись, лететь","ˈb’istra, n’is’ˈt’is’, l’iˈt’et’"
bash,/bæʃ/,C,сильно ударять,"бить, (сильно) ударять, сильно (ударять), шандарахнуть, лупить, колотить, дубасить, вламывать","b’it’, udar’at’, s’il’na, šandaraxnut’, lup’it’, kalat’it’, dubas’it’, vlamыvat’"
bat,/bæt/,I,ударять ладонью,"бить, дубасить, избивать, хлестать, ударять","b’it’, dubas’it’, izb’ivat’, xl’istat’, udar’at’"
bathe,/beɪð/,C,плавать,"купаться, окунаться, плавать, погружаться","kupaca, ukunaca, plavat’, pugružaca"
batter,/ˈbæt.ər/,I,"бить, проявлять агрессивное поведение","(сильно) бить, колотить, дубасить, долбить, громить, месить, колошматить, крушить, утюжить, рукоприкладствовать, мочалить","b’it’, kalat’it’, dubas’it’, dolb’it’, grum’it’, m’is’it’, kalašmat’it’, krušit’, ut’užit’, rukapr’ikladstvavat’, mačal’it’"
battle,/ˈbæt.l̩/,I,сражаться,"сражаться, бороться, драться, биться, схватываться","sražaca, baroca, draca, b’ica, sxvat’ыvaca"
bear,/beər/,F,"носить, передвигать что-либо","носить, нести, переносить, перевозить, двигать, передвигать, разносить, распространять, брать","nas’it’, n’is’t’i, p’ir’inas’it’, p’ir’ivaz’it’, dv’igat’, p’ur’idv’igat’, raznas’it’, rasprastran’at’, brat’"
beat,/biːt/,I,продолжительно наносить удары,"бить, ударять, колотить, выколачивать, хлестать, избивать, стучать, выбивать, шандарахнуть, мутузить, сечь, лупить, колошматить, наваливать, тузить","b’it’, udar’at’, kalat’it’, vыkalačыvat’, xl’istat’, izb’ivat’, stučat’, vыb’ivat’, šandaraxnut’, mutuz’it’, s’eč’, lup’it’, kalašmat’it’, naval’ivat’, tuz’it’"
beckon,/ˈbek.ən/,I,делать движения головой или рукой в просьбе приблизиться,"манить, кивать, (делать) знак, мотать, зазывать, прикликать, подзывать, кликать","man’it’, k’ivat’, znak, matat’, zazыvat’, pr’ikl’ikat’, padzыvat’, kl’ikat’"
belabor,/bɪˈleɪ.bər/,С,наносить удары сильно и продолжительно,"колошматить, бить, избивать, колотить, дубасить, лупить, чихвостить, рассусоливать, молотить, (надавать) тумаков","kalašmat’it’, b’it’, izb’ivat’, kalat’it’, dubas’it’, lup’it’, čixvost’it’, rassusol’ivat’, malat’it’, tumakof"
belt,/belt/,I,передвигаться с высокой скоростью,"гнать, шпарить, мчаться, (бежать) сломя (голову)","gnat’, špar’it’, m’čaca, slaˈm’a"
bend,/bend/,IC,сгибать что-либо,"сгибать, гнуть, изгибать, наклонять, склонять, скручивать, корёжить, выгибать, перегибать, искривлять, пригибать, скривлять, кривить, заворачивать, прогибать, скрючивать","zg’iˈbat’, gnut’, izg’iˈbat’, naklaˈn’at’, sklaˈn’at’, ˈskručivat’, kaˈr’ožыt’, vыg’iˈbat’, p’ir’ig’iˈbat’, iskr’iˈvl’at’, pr’ig’iˈbat’, skr’iˈvl’at’, kr’iˈv’it’, zavaˈračivat’, praˈg’ibat’, ˈskr’učivat’"
biff,/bɪf/,I,"наносить удар, особенно кулаком","ударять, стукать, врезать, вмазывать","udaˈr’at’, ˈstukat’, ˈvr’ezat’, ˈvmazыvat’"
bind,/baɪnd/,IC,"крепко связывать, соединять что-либо","связывать, привязывать, скреплять, скручивать, сковывать, соединять, закреплять, затягивать, прикручивать, присупонивать, заковывать, повязывать","ˈsv’jazыvat’, pr’iˈv’azыvat’, skr’iˈpl’at’, ˈskručivat’, ˈskovыvat’, sa’id’iˈn’at’, z’ikr’iˈpl’at’, zaˈt’ag’ivat’, pr’iˈkručivat’, pr’isuˈpon’ivat’, zaˈkovыvat’, paˈv’azыvat’"
blast,/blɑːst/,IC,"уничтожать что-либо взрывом, ломать схожей силой","взрывать, разрушать, разносить, подрывать, повреждать, уничтожать, пробивать, громить","vzrыˈvat’, razruˈžat’, razˈnos’it’, padr’iˈvat’, pavr’iˈždat’, un’ič’iˈžat’, prab’iˈvat’, graˈm’it’"
blench,/blentʃ/,IC,"резко отходить, реагировать","уклоняться, отступать, колебаться, теряться, бледнеть, (прийти в) замешательство, избегать, растеряться","uklaˈn’aca, actuˈpat’, kal’iˈbaca, t’ir’ˈaca, bl’id’ˈn’et’, zam’iˈšat’il’stva, iz’iˈb’igat’, rast’iˈr’aca"
blink,/blɪŋk/,IC,быстро закрывать и открывать глаза один или несколько раз,"моргать, щуриться, мигать, хлопать (глазами)","marˈgat’, ˈš’ur’ica, m’iˈgat’, ˈxlopat’"
bludgeon,/ˈblʌdʒ.ən/,I,продолжительно наносить удары тяжелым предметом,"бить (дубинкой), дубасить, ударять (дубинкой), лупить, громить","b’it’, duˈbas’it’, udaˈr’at’, luˈp’it’, graˈm’it’"
blunder,/ˈblʌn.dər/,IC,осуществлять неловкое движение,"(двигаться) ощупью, спотыкаться, наталкиваться, натыкаться, (двигаться) неуверенно","ˈoš’up’u, spatыˈkaca, naˈtalk’ivaca, naˈtыkaca, n’iuˈv’er’ina"
bob,/bɒb/,I,"последовательные движения вверх и вниз, особенно на водной поверхности","качаться, подскакивать, подпрыгивать, дрожать, мотаться","kaˈčaca, pacˈkat’ivat’, patˈprыg’ivat’, draˈžat’, maˈtas’ica"
bolt,/bəʊlt/,I,"быстро двигаться, особенно в состоянии испуга","выстреливать, бросаться, помчаться, спасаться, сбегать, убегать, драпать, (давать) дёру, удирать, уныривать, улепётывать","vыstr’iˈl’ivat’, braˈsaca, pam’ˈčaca, spaˈsaca, zb’iˈgat’, ub’iˈgat’, ˈdrapat’, ˈd’ora, ud’iˈrat’, uˈnыr’ivat’, ul’iˈp’otыvat’"
bomb,/bɒm/,С,быстро передвигаться в транспорте,"быстро (двигаться), нестись, мчаться, (двигаться) вихрем, лететь","ˈbыstra, n’is’ˈt’is’, m’čaca, ˈv’ixr’im, ˈl’et’it’"
bonk,/bɒŋk/,IC,наносить легкий удар,"шлёпать, стукать, тюкать, хлопнуть","ˈšl’opat’, ˈstukat’, ˈt’ukat’, ˈxlopnut’"
boot,/buːt/,С,наносить сильный удар ногой,"пнуть, (ударить) ботинком, наподдать, лягать, (дать) пенделя","pnut’, ˈbot’inkam, napˈdat’, l’iˈgat’, ˈp’en’d’il’a"
bounce,/baʊns/,I,отскакивать после столкновения с чем-либо,"подпрыгивать, отскакивать, ударяться","patˈprыg’ivat’, atˈskak’ivat’, udaˈr’aca"
bound,/baʊnd/,IC,быстро передвигаться длинными прыжками,"прыгать, скакать, нестись, подпрыгивать, бежать","ˈprыgat’, skaˈkat’, n’is’ˈt’is’, patˈprыg’ivat’, b’iˈžat’"
brandish,/ˈbræn.dɪʃ/,FIC,махать чем-либо в воздухе в угрожающей манере,"махать, размахивать, потрясать, замахиваться, угрожать","maˈxat’, razˈmax’ivat’, patr’iˈsat’, zaˈmax’ivaca, ugraˈžat’"
brawl,/brɔːl/,F,шумно драться в беспорядочной и бесконтрольной форме,"ссориться, драться, буянить, ругаться, скандалить, бузить","ˈsor’ica, ˈdraca, buˈjan’it’, ruˈgaca, skanˈdal’it’, buˈz’it’"
break,/breɪk/,F,ломать что-либо на два или более кусочков,"ломать, разбивать, разрушать, рвать, раскалывать, колоть, крушить, бить, рушить, коверкать, раздалбывать, расколачивать","laˈmat’, razˈb’ivat’, razˈrušat’, rvat’, rasˈkalыvat’, kaˈlot’, kruˈšit’, b’it’, ˈrušыt’, kaˈv’erkat’, razˈdalbavat’, raskaˈlačivat’"
breeze,/briːz/,F,"быстро, уверенно двигаться куда-либо","мчаться, бежать, проскакивать, проходить","m’čaca, b’iˈžat’, praˈskak’ivat’, praˈxod’it’"
bring,/brɪŋ/,FIC,нести или приносить куда-либо предмет или лицо,"приносить, доставлять, приводить, привозить, притаскивать, влечь, вести, везти, брать (с собой), приволакивать","pr’inaˈs’it’, dastaˈvl’at’, pr’ivaˈd’it’, pr’ivaˈz’it’, pr’iˈtask’ivat’, vl’eč’, v’is’ˈt’i, v’iˈz’t’i, brat’, pr’ivaˈlak’ivat’"
buck,/bʌk/,I,"прыжок коня, сопровождающийся движением задних копыт в воздухе","(становиться на) дыбы, брыкаться, взбрыкиваться, противиться","ˈdыbы, brыˈkaca, vzbrыˈk’ivaca, pr’iˈt’iv’ica"
buff,/bʌf/,IC,"выстреливать, бросаться, мчаться, спасаться, сбегать, убегать, драпать, (давать) дёру, удирать, уныривать, улепётывать","полировать, лощить, шлифовать, глянцевать, драить","pal’iraˈvat’, loˈšit’, šl’ifaˈvat’, gl’ian’cыˈvat’, ˈdrait’"
buffet,/ˈbʌf.ɪt/,IC,"наносить тяжелые, последовательные удары","ударять, швырять, бросать, хлестать, бить, шандарахать","udaˈr’at’, švыˈr’at’, braˈsat’, xl’isˈtat’, b’it’, šanˈdaraxat’"
bumble,/ˈbʌmbl̩/,TNC,беспорядочно двигаться или говорить,"запинаться, заикаться, путаться, конфузиться, смутиться","zap’iˈnaca, zaiˈkaca, ˈputaca, kanˈfuz’ica, smuˈt’ica"
bump,/bʌmp/,IC,ударяться обо что-либо с силой,"ударять, ударяться, толкать, натолкнуться, налетать, стукать, стукаться, ушибить, ушибаться, врезать, врезаться","udaˈr’at’, udaˈr’aca, talˈkat’, natalˈknuca, nal’iˈtat’, ˈstukat’, ˈstukaca, uˈšыb’it’, uˈšыbaca, vr’iˈzat’, vr’iˈzaca"
bundle,/ˈbʌn.dl̩/,IC,толкать или класть лицо или предмет быстро и грубо,"связывать (в узел), собирать, укладывать, пихать, совать, толкать, закутывать, обвертывать, упаковывать","s’ˈv’azыvat’, sab’iˈrat’, ukˈladыvat’, p’iˈxat’, saˈvat’, talˈkat’, zaˈkutыvat’, abˈv’ortыvat’, upaˈkovыvat’"
bung,/bʌŋ/,IC,неаккуратно убирать,"затыкать, швырять, закупоривать, закрывать, бросить","zatыˈkat’, švыˈr’at’, zaˈkupar’ivat’, zaˈkrыvat’, ˈbros’it’"
burrow,/ˈbʌr.əʊ/,F,выкапывать нору в земле,"рыть, (делать) нору, копаться","rыt’, ˈnoru, kaˈpaca"
butt,/bʌt/,I,наносить сильный удар головой или рогами,"ударять (головой), натыкаться, бодать, пырять, таранить","udaˈr’at’, natыˈkaca, baˈdat’, pыˈr’at’, taˈran’it’"
canter,/ˈkæn.tər/,IC,легкий галоп лошади,"(ехать лёгким) галопом, (ехать) кентером, галопировать, скакать","gaˈlopam, ˈk’entaram, galaˈp’iravat’, skaˈkat’"
caper,/ˈkeɪ.pər/,I,"бежать и прыгать в счастливой, энергичной манере","прыгать, дурачиться, скакать, пританцовывать","ˈprыgat’, duˈračica, skaˈkat’, pr’itanˈcovыvat’"
careen,/kəˈriːn/,F,"быстро идти вперёд, двигаясь из стороны в сторону","килевать, крениться, отклоняться, качаться, колебаться, пошатываться, гнуться (в сторону)","k’il’iˈvat’, kr’iˈn’ica, atklaˈn’aca, kaˈčaca, kal’iˈbaca, paˈšatыvaca, ˈgnuca"
career,/kəˈrɪər/,F,"двигаться быстро, часто бесконтрольно (особенно в автомобиле)","быстро (двигаться), нестись, мчаться, гнать, (двигаться во весь) опор, бежать ","bыstra, n’is’t’is’, m’čaca, gnat’, apor, b’ižat’"
caress,/kəˈres/,F,нежно касаться или целовать кого-либо ,"ласкать, гладить, голубить, нежничать","laˈskat’, ˈglad’it’, goˈlub’it’, ˈn’ežn’it’"
carry,/ˈkær.i/,F,двигать предмет или лицо куда-либо,"возить, носить, брать, держать, таскать, тащить, иметь, водить","vaˈz’it’, naˈs’it’, brat’, d’irˈžat’, taˈskat’, taˈš’it’, ˈ’im’it’, vaˈd’it’"
cart,/kɑːt/,F,брать куда-либо (затрачивая большие усилия),"ехать, возить, провозить, подвозить, тащить, таскать","ˈjexat’, vaˈz’it’, pravaˈz’it’, padˈvoz’it’, taˈš’it’, taˈskat’"
carve,/kɑːv/,FI,создавать что-либо из камня или дерева,"вырезать, резать, высекать, делить, дробить, разделывать, пробивать, разделять, ваять, вырубать, вытачивать, выпиливать","vыr’izat’, r’ezat’, vыs’ikat’, d’il’it’, drab’it’, razd’el’ivat’, prab’ivat’, razdel’at’, vajat’, vыrubat’, vыtač’ivat’, vыp’il’ivat’"
cast,/kɑːst/,IC,кидать что-либо,"бросать, кидать, швырять, метать, ронять","brasat’, k’idat’, švыr’at’, m’itat’, ran’at’"
catch,/kætʃ/,SHM,"ловить что-либо, кого-либо","ловить, поймать, хватать, улавливать, захватывать, задерживать, застигать, выуживать, цеплять","lav’it’, pajm’at’, xvatat’, ulavl’ivat’, zaxvat’ыvat’, zad’erž’ivat’, zast’igat’, vыuž’ivat’, c’iplat’"
cavort,/kəˈvɔːt/,C,"прыгать или хаотично двигаться (часто в шумной, игривой манере)","прыгать, скакать, кувыркаться, резвиться","prыgat’, skakat’, kuvыrkaca, r’izv’ica"
charge,/tʃɑːdʒ/,FIC,двигаться вперед к чему-либо быстро и упорно,"бросаться, атаковать, бежать, штурмовать, наседать, набрасываться, нападать, напирать","brasaca, atakavat’, b’ižat’, šturmavat’, nas’idat’, nabras’ivaca, napadat’, nap’irat’"
chase,/tʃeɪs/,C,"торопиться, бежать в разных направлениях","гнаться, охотиться, преследовать, гоняться, догонять, разыскивать, бежать","gnaca, axot’ica, pr’isl’edavat’, gan’aca, dagan’at’, razыsk’ivat’, b’ižat’"
chatter,/ˈtʃæt.ər/,I,многократно стучать друг о друга,"стучать, дребезжать, дрожать, вибрировать, лязгать, клацать","stučat’, dr’ib’izžat’, dražat’, v’ibr’’iruvat’, l’azgat’, klacat’"
chew,/tʃuː/,CHW,пережёвывать пищу,"жевать, пережёвывать, прожёвывать, грызть, есть","žыvat’, p’ir’iž’ovыvat’, prož’ovыvat’, grыzt’, jest’"
chip,/tʃɪp/,I,обламывать что-либо (обыкновенно случайно),"откалывать, отламывать, обламывать, бить, разламывать, отбивать, разбивать, отсекать, колоть, отрубать, скалывать","atkalыvat’, atlamыvat’, ablamыvat’, b’it’, razlamыvat’, atb’ivat’, razb’ivat’, ac’ikat’, kalot’, atrubat’, skalыvat’"
chomp,/tʃɒmp/,CHW,шумно пережёвывать,"чавкать, хрупать, (громко) жевать, есть","čafkat’, xrupat’, žыvat’, jest’"
chop,/tʃɒp/,I,"разделять что-либо на куски топором, ножом или другим острым инструментом","рубить, нарезать, резать, крошить, отрезать, долбить, колотить, шинковать, сечь, раскалывать","rub’it’, nar’izat’, r’ezat’, krošыt’, atr’ezat’, dolb’it’, kalat’it’, šыnkavat’, s’eč’, raskalыvat’"
chuck,/tʃʌk/,I,неаккуратно бросать,"бросать, швырять, кидать, выкидывать, выбрасывать","brasat’, švыr’at’, k’idat’, vыk’idыvat’, vыbrasыvat’"
chunder,/ˈtʃʌn.dər/,IC,извергать ртом содержимое желудка,"блевать, (страдать) рвотой, тошнить","bl’ivat’, rˈvotaj, tašn’it’"
clamber,/ˈklæm.bər/,IC,"подниматься, перелезать или влезать с трудом","карабкаться, цепляться, взбираться, виться, взгромождаться, пробиваться, лезть, перелезать","karapkaca, c’iplaca, vz’b’iraca, v’ica, vzgramaždaca, prab’ivaca, l’est’, p’ir’il’izat’"
clap,/klæp/,I,наносить легкие удары или хлопать по плечу или спине в дружеской манере,"хлопать, бить, шлёпать","xlopat’, b’it’, šl’opat’"
clash,/klæʃ/,IC,"биться, спорить","сталкиваться, стукаться, расходиться (взглядами), ссориться, ударяться, схлёстываться, конфликтовать, биться, скрещиваться","stalk’ivaca, stukaca, rasxad’ica, sor’ica, udar’aca, sxl’ostыvaca, kanfl’iktavat’, b’ica, skr’ešivaca"
climb,/klaɪm/,IC,с трудом достигать удаленного места или покидать его,"подниматься, карабкаться, влезать, взбираться, восходить, забираться, преодолевать, штурмовать","padn’imaca, karapkaca, vl’izat’, vz’b’iraca, vasxad’it’, zab’iraca, pr’iadal’ivat’, šturmavat’"
clip,/klɪp/,I,отрезать что-либо ножницами или схожим острым инструментом,"стричь, обрезать, отрезать, отсекать, обрывать, подстригать, подрезать, отделять","str’ič’, abr’izat’, atr’izat’, ac’ikat’, abr’ivat’, pactr’igat’, padr’izat’, atd’il’at’"
clobber,/ˈklɒb.ər/,I,наносить сильные многочисленные удары,"избивать, колошматить, громить, колотить, поражать, разносить, ударять, бить, мутузить, дубасить, накостылять, мочить","izb’ivat’, kalašmat’it’, gram’it’, kalat’it’, paražat’, raznas’it’, udar’at’, b’it’, mutuz’it’, dubas’it’, nakastыl’at’, muč’it’"
clock,/klɒk/,I,бить кого-либо (особенно по голове или лицу),"ударять, бить, двигать (в лицо), давать (в лицо), заехать (в лицо), стукнуть, настучать, начистить, влеплять, вмазывать, тюкать","udar’at’, b’it’, dv’igat’, davat’, zajexat’, stuknut’, nastuč’at’, nač’ist’it’, vl’ipl’at’, vmazыvat’, t’ukat’"
close,/kləʊz/,IC,закрывать,"закрывать, прекращать, кончать, заканчивать, заключать, затворять, прикрывать, притворять, завершать, запирать, смыкать","zakrыvat’, pr’ikr’išat’, kan’čat’, zakan’čivat’, zakl’učat’, zatvor’at’, pr’ikrыvat’, pr’itvor’at’, zav’ir’išat’, zap’irat’, smыkat’"
clout,/klaʊt/,IC,бить кого-либо рукой или тяжелым предметом,"(давать) затрещину, ударять, бить","zatr’ešš’inu, udar’at’, b’it’"
clump,/klʌmp/,IC,ходить шумно медленными шагами,"ступать, неуклюже (ходить), топать","stuˈpat’, n’iuˈkl’uža, ˈtopat’"
coast,/kəʊst/,IC,медленно двигаться на автомобиле обыкновенно вниз с горы,"спускаться, катиться, (ехать) накатом, лететь","spusˈkaca, kaˈt’ica, naˈkatam, l’iˈt’et’"
cock,/kɒk/,I,выставить конечность вверх в определенном направлении,"поднимать, заламывать, взводить, замахивать, вскидывать, задирать, загибать","pad’iˈn’at’, zaˈlamыvat’, vzvaˈd’it’, zaˈmax’ivat’, fs’ˈk’idыvat’, zaˈd’irat’, zaˈg’ibat’"
collapse,/kəˈlæps/,-,внезапно падать из-за недостатка сил или поддержки,"рушиться, обваливаться, сваливаться, падать, валиться, (испытывать) коллапс, (терпеть) крах, обессиливать, проваливаться, проламываться, (заканчиваться) провалом, терять (сознание), разваливаться, изнемогать","ˈrušыca, abˈval’ivaca, ˈsval’ivaca, ˈpadat’, vaˈl’ica, kaˈlaps, krax, ab’iˈs’il’ivat’, praˈval’ivaca, praˈlamыvaca, praˈvalam, t’iˈr’at’, razˈval’ivaca, izn’iˈmogat’"
collect,/kəˈlekt/,-,приносить что-либо куда-либо,"собирать, коллекционировать, отбирать, накапливать, забирать, взимать, подбирать, получать, набирать","sab’iˈrat’, kal’ikcыaˈn’iravat’, atb’iˈrat’, naˈkapl’ivat’, zaˈb’irat’, v’z’iˈmat’, padˈb’irat’, paluˈčat’, naˈb’irat’"
collide,/kəˈlaɪd/,-,сильно ударяться обо что-либо,"сталкиваться, стукаться, врезаться, наскакивать, впечатываться, ударяться, налетать, сшибаться","stal’ˈk’ivaca, ˈstukaca, vr’iˈzaca, nasˈkak’ivat’, v’p’iˈčat’ivaca, udaˈr’aca, nal’iˈtat’, šыˈbaca"
come,/kʌm/,C,двигаться к говорящему или вместе с говорящим,"приходить, подходить, идти, прибывать, приезжать, доходить, достигать, равняться, приближаться, добираться, появляться, подступать, заходить, близиться","pr’ixaˈd’it’, padˈxod’it’, ˈit’i, pr’ib’iˈvat’, pr’iiˈžat’, daxaˈd’it’, das’t’iˈgat’, ravˈn’aca, pr’ibl’iˈžaca, dab’iˈraca, pajiˈv’ica, pactuˈpat’, zaˈxod’it’, ˈbl’iz’ica"
commute,/kəˈmjuːt/,-,совершать регулярные поездки от дома до места работы,"(ежедневно) ездить (на работу), совершать (регулярные поездки на работу), добираться (на работу)","ˈjez’d’it’, sav’irˈšat’, dab’iˈraca"
concuss,/kənˈkʌs/,-,оглушать кого-либо,"оглушать, сотрясать, (вызывать) сотрясение, контузить","agluˈšat’, satr’iˈsat’, satr’iˈs’en’ije, kanˈtuz’it’"
conk,/kɒŋk/,IC,ударять кого-либо (обыкновенно тяжелым предметом по голове),"давать (по голове), стукать (по голове), ударять","daˈvat’, ˈstukat’, udaˈr’at’"
connect,/kəˈnekt/,-,соединять что-либо с чем-либо,"соединять, соединяться, связывать, связываться, сочетать, сочетаться, привязывать, привязываться, состыковывать, состыковываться, смыкать, смыкаться","said’iˈn’at’, said’iˈn’aca, ˈsvjazыvat’, ˈsvjazыvaca, saˈčitat’, saˈčitaca, pr’iˈv’izыvat’, pr’iˈv’izыvaca, sasˈtыkavat’, sasˈtыkavaca, ˈsmыkat’, ˈsmыkaca"
contort,/kənˈtɔːt/,-,заставлять что-либо изменить форму на более неестественную,"искривлять, искажать, деформировать, коверкать, кривить, корчить, сгибать, скручивать","iskr’iˈvl’at’, isˈkažat’, d’iforˈm’iravat’, kaˈv’erkat’, ˈkr’iv’it’, ˈkor’čit’, ˈsg’ibat’, ˈskručivat’"
convey,/kənˈveɪ/,-,брать или нести что-либо или кого-либо в конкретное место,"перевозить, переправлять, транспортировать, доставлять, доводить","p’iriˈvoz’it’, p’ir’iˈpravl’at’, transˈport’iravat’, daˈstavl’at’, daˈvod’it’"
convoy,/ˈkɒn.vɔɪ/,-,передвигаться в сопровождении специального транспорта или группы людей в целях безопасности,"сопровождать, конвоировать, охранять, сопутствовать, этапировать","sapravažˈdat’, kanvaiˈr’ivat’, axraˈn’at’, saˈpuctvavat’, itaˈp’iravat’"
convulse,/kənˈvʌls/,-,трястись или заставлять что-либо сильно трястись,"задрожать, (вызывать или испытывать) судороги, (вызывать или испытывать) конвульсии, взволновать, корчить, корчиться, трясти, трястись, дёргать, передёргиваться, крючить, крючиться","zaˈdrožat’, suˈdoragы, kanˈvul’s’ii, vzvaˈlnavat’, ˈkor’čit’, ˈkor’čica, tr’iˈst’i, tr’iˈst’s’, ˈd’orgat’, p’iriˈd’orgыvaca, ˈkr’učit’, ˈkr’učica"
course,/kɔːs/,F,течь быстро и в больших количествах,"бежать, течь, литься, нестись, быстро (двигаться)","bыˈžat’, t’eč, ˈl’ica, n’isˈt’is’, ˈbыstra"
cower,/ˈkaʊ.ər/,F,опускать голову или все тело в страхе,"сжиматься, съёживаться, пригибаться, забиваться, трепетать, припадать","žыˈmaca, ˈs’ožыvaca, pr’igыˈbaca, zab’iˈvaca, ˈtr’ep’itat’, pr’iˈpadat’"
