verb;transcriptionEn;category;meaning;translation;transcriptionRu
bash;/bæʃ/;C;сильно ударять;бить, (сильно) ударять, сильно (ударять), шандарахнуть, лупить, колотить, дубасить, вламывать;b’it’, udaˈr’at’, ˈs’il’na, šandaˈraxnut’, luˈp’it’, kalaˈt’it’, duˈbas’it’, ˈvlamыvat’
bat;/bæt/;I;ударять ладонью;бить, дубасить, избивать, хлестать, ударять;b’it’, duˈbas’it’, izb’iˈvat’, xl’isˈtat’, udaˈr’at’
bathe;/beɪð/;C;плавать;купаться, окунаться, плавать, погружаться;kuˈpaca, akuˈnaca, plaˈvat’, pagruˈžaca
batter;/ˈbæt.ər/;I;бить, проявлять агрессивное поведение;(сильно) бить, колотить, дубасить, долбить, громить, месить, колошматить, крушить, утюжить, рукоприкладствовать, мочалить;b’it’, kalaˈt’it’, duˈbas’it’, dalˈb’it’, graˈm’it’, m’iˈs’it’, kalašˈmat’it’, kruˈšit’, uˈt’užit’, rukapr’iˈkladstvavat’, maˈčal’it’
battle;/ˈbæt.l̩/;I;сражаться;сражаться, бороться, драться, биться, схватываться;sraˈžaca, baˈroca, dˈraca, ˈb’ica, ˈsxvat’ыvaca
bear;/beər/;F;носить, передвигать что-либо;носить, нести, переносить, перевозить, двигать, передвигать, разносить, распространять, брать;naˈs’it’, n’iˈst’i, p’ir’inaˈs’it’, p’ir’ivaˈz’it’, dv’iˈgat’, p’ir’idv’iˈgat’, raznaˈs’it’, rasprastraˈn’at’, brat’
beat;/biːt/;I;продолжительно наносить удары;бить, ударять, колотить, выколачивать, хлестать, избивать, стучать, выбивать, шандарахнуть, мутузить, сечь, лупить, колошматить, наваливать, тузить;b’it’, udaˈr’at’, kalaˈt’it’, vыkaˈlačivat’, xl’isˈtat’, izb’iˈvat’, stuˈčat’, vыb’iˈvat’, šanˈdaraxnut’, muˈtuz’it’, s’eč, luˈp’it’, kalašˈmat’it’, naˈval’ivat’, ˈtuz’it’
beckon;/ˈbek.ən/;I;делать движения головой или рукой в просьбе приблизиться;манить, кивать, (делать) знак, мотать, зазывать, прикликать, подзывать, кликать;maˈn’it’, k’iˈvat’, znak, maˈtat’, zazыˈvat’, pr’ikl’iˈkat’, padzыˈvat’, kl’iˈkat’
belabor;/bɪˈleɪ.bər/;С;наносить удары сильно и продолжительно;колошматить, бить, избивать, колотить, дубасить, лупить, чихвостить, рассусоливать, молотить, (надавать) тумаков;kalašˈmat’it’, b’it’, izb’iˈvat’, kalaˈt’it’, duˈbas’it’, luˈp’it’, čixˈvost’it’, rassuˈsol’ivat’, malaˈt’it’, tumaˈkof
belt;/belt/;I;передвигаться с высокой скоростью;гнать, шпарить, мчаться, (бежать) сломя (голову);gnat’, ˈšpar’it’, ˈm’čaca, slaˈm’a
bend;/bend/;IC;сгибать что-либо;сгибать, гнуть, изгибать, наклонять, склонять, скручивать, корёжить, выгибать, перегибать, искривлять, пригибать, скривлять, кривить, заворачивать, прогибать, скрючивать;zg’iˈbat’, gnut’, izg’iˈbat’, naklaˈn’at’, sklaˈn’at’, ˈskručivat’, kaˈr’ožыt’, vыg’iˈbat’, p’ir’ig’iˈbat’, iskr’iˈvl’at’, pr’ig’iˈbat’, skr’iˈvl’at’, kr’iˈv’it’, zavaˈračivat’, prag’iˈbat’, ˈskr’učivat’
biff;/bɪf/;I;наносить удар, особенно кулаком;ударять, стукать, врезать, вмазывать;udaˈr’at’, ˈstukat’, ˈvr’ezat’, ˈvmazыvat’
bind;/baɪnd/;IC;крепко связывать, соединять что-либо;связывать, привязывать, скреплять, скручивать, сковывать, соединять, закреплять, затягивать, прикручивать, присупонивать, заковывать, повязывать;ˈsv’jazыvat’, pr’iˈv’azыvat’, skr’iˈpl’at’, ˈskručivat’, ˈskovыvat’, sa’id’iˈn’at’, z’akr’iˈpl’at’, zaˈt’ag’ivat’, pr’iˈkručivat’, pr’isuˈpon’ivat’, zaˈkovыvat’, paˈv’azыvat’
blast;/blɑːst/;IC;уничтожать что-либо взрывом, ломать схожей силой;взрывать, разрушать, разносить, подрывать, повреждать, уничтожать, пробивать, громить;vzrыˈvat’, razruˈšat’, raznaˈs’it’, padrыˈvat’, pavr’iˈždat’, un’ičtaˈžat’, prab’iˈvat’, graˈm’it’
blench;/blentʃ/;IC;резко отходить, реагировать;уклоняться, отступать, колебаться, теряться, бледнеть, (прийти в) замешательство, избегать, растеряться;uklaˈn’aca, actuˈpat’, kal’iˈbaca, t’ir’ˈaca, bl’id’ˈn’et’, zam’iˈšat’il’stva, iz’ib’iˈgat’, rast’iˈr’aca
blink;/blɪŋk/;IC;быстро закрывать и открывать глаза один или несколько раз;моргать, щуриться, мигать, хлопать (глазами);marˈgat’, ˈš’ur’ica, m’iˈgat’, ˈxlopat’
bludgeon;/ˈblʌdʒ.ən/;I;продолжительно наносить удары тяжелым предметом;бить (дубинкой), дубасить, ударять (дубинкой), лупить, громить;b’it’, duˈbas’it’, udaˈr’at’, luˈp’it’, graˈm’it’
blunder;/ˈblʌn.dər/;IC;осуществлять неловкое движение;(двигаться) ощупью, спотыкаться, наталкиваться, натыкаться, (двигаться) неуверенно;ˈoš’up’ju, spatыˈkaca, naˈtalk’ivaca, naˈtыkaca, n’iuˈv’er’ina
bob;/bɒb/;I;последовательные движения вверх и вниз, особенно на водной поверхности;качаться, подскакивать, подпрыгивать, дрожать, мотаться;kaˈčaca, pacˈkak’ivat’, patˈprыg’ivat’, draˈžat’, maˈtaca
bolt;/bəʊlt/;I;быстро двигаться, особенно в состоянии испуга;выстреливать, бросаться, помчаться, спасаться, сбегать, убегать, драпать, (давать) дёру, удирать, уныривать, улепётывать;vыstr’eˈl’ivat’, braˈsaca, pam’ˈčaca, spaˈsaca, zb’iˈgat’, ub’iˈgat’, ˈdrapat’, ˈd’oru, ud’iˈrat’, uˈnыr’ivat’, ul’iˈp’otыvat’
bomb;/bɒm/;С;быстро передвигаться в транспорте;быстро (двигаться), нестись, мчаться, (двигаться) вихрем, лететь;ˈbыstra, n’is’ˈt’is’, m’čaca, ˈv’ixr’em, ˈl’it’et’
bonk;/bɒŋk/;IC;наносить легкий удар;шлёпать, стукать, тюкать, хлопнуть;ˈšl’opat’, ˈstukat’, ˈt’ukat’, ˈxlopnut’
boot;/buːt/;С;наносить сильный удар ногой;пнуть, (ударить) ботинком, лягать, (дать) пенделя;pnut’, baˈt’inkam, l’iˈgat’, ˈp’en’d’il’a
bounce;/baʊns/;I;отскакивать после столкновения с чем-либо;подпрыгивать, отскакивать, ударяться;patˈprыg’ivat’, atˈskak’ivat’, udaˈr’aca
bound;/baʊnd/;IC;быстро передвигаться длинными прыжками;прыгать, скакать, нестись, подпрыгивать, бежать;ˈprыgat’, skaˈkat’, n’is’ˈt’is’, patˈprыg’ivat’, b’iˈžat’
brandish;/ˈbræn.dɪʃ/;FIC;махать чем-либо в воздухе в угрожающей манере;махать, размахивать, потрясать, замахиваться, угрожать;maˈxat’, razˈmax’ivat’, patr’iˈsat’, zaˈmax’ivaca, ugraˈžat’
brawl;/brɔːl/;F;шумно драться в беспорядочной и бесконтрольной форме;ссориться, драться, буянить, ругаться, скандалить, бузить;ˈsor’ica, ˈdraca, buˈjan’it’, ruˈgaca, skanˈdal’it’, buˈz’it’
break;/breɪk/;F;ломать что-либо на два или более кусочков;ломать, разбивать, разрушать, рвать, раскалывать, колоть, крушить, бить, рушить, коверкать, раздалбывать, расколачивать;laˈmat’, razb’iˈvat’, razruˈšat’, rvat’, rasˈkalыvat’, kaˈlot’, kruˈšit’, b’it’, ˈrušыt’, kaˈv’erkat’, razˈdalbavat’, raskaˈlačivat’
breeze;/briːz/;F;быстро, уверенно двигаться куда-либо;мчаться, бежать, проскакивать, проходить;ˈm’čaca, b’iˈžat’, praˈskak’ivat’, praxaˈd’it’
bring;/brɪŋ/;FIC;нести или приносить куда-либо предмет или лицо;приносить, доставлять, приводить, привозить, притаскивать, влечь, вести, везти, брать (с собой), приволакивать;pr’inaˈsit’, dastaˈvl’at’, pr’iˈvad’it’, pr’ivaˈz’it’, pr’iˈtask’ivat’, vl’eč, v’iˈst’i, v’iˈst’i, brat’, pr’ivaˈlak’ivat’
buck;/bʌk/;I;прыжок коня, сопровождающийся движением задних копыт в воздухе;(становиться на) дыбы, брыкаться, взбрыкиваться, противиться;dыˈbы, brыˈkaca, ˈvzbrыk’ivaca, pr’aˈt’iv’ica
buff;/bʌf/;IC;выстреливать, бросаться, мчаться, спасаться, сбегать, убегать, драпать, (давать) дёру, удирать, уныривать, улепётывать;полировать, лощить, шлифовать, глянцевать, драить;pal’iraˈvat’, laˈšit’, šl’ifaˈvat’, gl’an’cыˈvat’, ˈdrait’
buffet;/ˈbʌf.ɪt/;IC;наносить тяжелые, последовательные удары;ударять, швырять, бросать, хлестать, бить, шандарахать;udaˈr’at’, švыˈr’at’, braˈsat’, xl’isˈtat’, b’it’, šandaˈraxat’
bumble;/ˈbʌmbl̩/;C;беспорядочно двигаться или говорить;запинаться, заикаться, путаться, конфузиться, смутиться;zap’iˈnaca, zaiˈkaca, ˈputaca, kanˈfuz’ica, smuˈt’ica
bump;/bʌmp/;IC;ударяться обо что-либо с силой;ударять, ударяться, толкать, натолкнуться, налетать, стукать, стукаться, ушибить, ушибаться, врезать, врезаться;udaˈr’at’, udaˈr’aca, talˈkat’, nataˈlknuca, nal’iˈtat’, ˈstukat’, ˈstukaca, uˈšыb’it’, ušыˈbaca, vr’iˈzat’, vr’iˈzaca
bundle;/ˈbʌn.dl̩/;IC;толкать или класть лицо или предмет быстро и грубо;связывать (в узел), собирать, укладывать, пихать, совать, толкать, закутывать, обвертывать, упаковывать;ˈs’v’azыvat’, sab’iˈrat’, ukˈladыvat’, p’iˈxat’, saˈvat’, talˈkat’, zaˈkutыvat’, abˈv’ortыvat’, upaˈkovыvat’
bung;/bʌŋ/;IC;неаккуратно убирать;затыкать, швырять, закупоривать, закрывать, бросить;zatыˈkat’, švыˈr’at’, zakuˈpor’ivat’, zakrыˈvat’, ˈbros’it’
burrow;/ˈbʌr.əʊ/;F;выкапывать нору в земле;рыть, (делать) нору, копаться;rыt’, naˈru, kaˈpaca
butt;/bʌt/;I;наносить сильный удар головой или рогами;ударять (головой), натыкаться, бодать, пырять, таранить;udaˈr’at’, natыˈkaca, baˈdat’, pыˈr’at’, taˈran’it’
canter;/ˈkæn.tər/;IC;легкий галоп лошади;(ехать лёгким) галопом, (ехать) кентером, галопировать, скакать;gaˈlopam, ˈk’enteram, galaˈp’iravat’, skaˈkat’
caper;/ˈkeɪ.pər/;I;бежать и прыгать в счастливой, энергичной манере;прыгать, дурачиться, скакать, пританцовывать;ˈprыgat’, duˈračica, skaˈkat’, pr’itanˈcovыvat’
careen;/kəˈriːn/;F;быстро идти вперёд, двигаясь из стороны в сторону;килевать, крениться, отклоняться, качаться, колебаться, пошатываться, гнуться (в сторону);k’il’iˈvat’, kr’iˈn’ica, atklaˈn’aca, kaˈčaca, kal’iˈbaca, paˈšatыvaca, ˈgnuca
career;/kəˈrɪər/;F;двигаться быстро и часто бесконтрольно, особенно в автомобиле;быстро (двигаться), нестись, мчаться, гнать, (двигаться во весь) опор, бежать ;ˈbыstra, n’is’ˈt’is’, ˈm’čaca, gnat’, aˈpor, b’iˈžat’
caress;/kəˈres/;F;нежно касаться или целовать кого-либо ;ласкать, гладить, голубить, нежничать;laˈskat’, ˈglad’it’, gaˈlub’it’, ˈn’ežn’ičat’
carry;/ˈkær.i/;F;двигать предмет или лицо куда-либо;возить, носить, брать, держать, таскать, тащить, иметь, водить;vaˈz’it’, naˈs’it’, brat’, d’irˈžat’, taˈskat’, taˈš’it’, ˈ’im’et’, vaˈd’it’
cart;/kɑːt/;F;брать куда-либо (затрачивая большие усилия);ехать, возить, провозить, подвозить, тащить, таскать;ˈjexat’, vaˈz’it’, pravaˈz’it’, padvaˈz’it’, taˈš’it’, taˈskat’
carve;/kɑːv/;FI;создавать что-либо из камня или дерева;вырезать, резать, высекать, делить, дробить, разделывать, пробивать, разделять, ваять, вырубать, вытачивать, выпиливать;vыr’iˈzat’, ˈr’ezat’, vыs’iˈkat’, d’iˈl’it’, draˈb’it’, razˈd’elыvat’, prab’iˈvat’, razdel’at’, vaˈjat’, vыruˈbat’, vыˈtačivat’, vыˈp’il’ivat’
cast;/kɑːst/;IC;кидать что-либо;бросать, кидать, швырять, метать, ронять;braˈsat’, k’iˈdat’, švыˈr’at’, m’iˈtat’, raˈn’at’
catch;/kætʃ/;I;ловить что-либо, кого-либо;ловить, поймать, хватать, улавливать, захватывать, задерживать, застигать, выуживать, цеплять;laˈv’it’, pajˈm’at’, xvaˈtat’, uˈlavl’ivat’, zaxˈvat’ыvat’, zaˈd’erživat’, zast’iˈgat’, vыˈuživat’, ciˈpl’at’
cavort;/kəˈvɔːt/;C;прыгать или хаотично двигаться (часто в шумной, игривой манере);прыгать, скакать, кувыркаться, резвиться;ˈprыgat’, skaˈkat’, kuvыrˈkaca, r’izˈv’ica
charge;/tʃɑːdʒ/;FIC;двигаться вперед к чему-либо быстро и упорно;бросаться, атаковать, бежать, штурмовать, наседать, набрасываться, нападать, напирать;braˈsaca, atakaˈvat’, b’iˈžat’, šturmaˈvat’, nas’iˈdat’, nabˈrasыvaca, napaˈdat’, nap’iˈrat’
chase;/tʃeɪs/;C;торопиться, бежать в разных направлениях;гнаться, охотиться, преследовать, гоняться, догонять, разыскивать, бежать;ˈgnaca, aˈxot’ica, pr’isˈl’edavat’, gaˈn’aca, dagaˈn’at’, raˈzыsk’ivat’, b’iˈžat’
chatter;/ˈtʃæt.ər/;I;многократно стучать друг о друга;стучать, дребезжать, дрожать, вибрировать, лязгать, клацать;stuˈčat’, dr’ib’iˈžat’, draˈžat’, v’ibˈr’iravat’, ˈl’azgat’, ˈklacat’
chew;/tʃuː/;C;пережёвывать пищу;жевать, пережёвывать, прожёвывать, грызть, есть;žыˈvat’, p’ir’iˈžovыvat’, proˈžovыvat’, grыzt’, jest’
chip;/tʃɪp/;I;обламывать что-либо, обыкновенно случайно;откалывать, отламывать, обламывать, бить, разламывать, отбивать, разбивать, колоть, отрубать, скалывать;atˈkalыvat’, atˈlamыvat’, abˈlamыvat’, b’it’, razˈlamыvat’, atb’iˈvat’, razb’iˈvat’, kaˈlot’, atruˈbat’, ˈskalыvat’
chomp;/tʃɒmp/;IC;шумно пережёвывать;чавкать, хрупать, (громко) жевать, есть;ˈčafkat’, ˈxrupat’, žыˈvat’, jest’
chop;/tʃɒp/;I;разделять что-либо на куски топором, ножом или другим острым инструментом;рубить, нарезать, резать, крошить, отрезать, долбить, колотить, шинковать, сечь, раскалывать;ruˈb’it’, nar’iˈzat’, ˈr’ezat’, kroˈšыt’, atr’eˈzat’, dalˈb’it’, kalaˈt’it’, šыnkaˈvat’, s’eč, raskalыvat’
chuck;/tʃʌk/;I;неаккуратно бросать;бросать, швырять, кидать, выкидывать, выбрасывать;braˈsat’, švыˈr’at’, k’iˈdat’, vыˈk’idыvat’, vыˈbrasыvat’
chunder;/ˈtʃʌn.dər/;IC;извергать ртом содержимое желудка;блевать, (страдать) рвотой, тошнить;bl’iˈvat’, ˈrvotaj, tašˈn’it’
clamber;/ˈklæm.bər/;IC;подниматься, перелезать или влезать с трудом;карабкаться, цепляться, взбираться, виться, взгромождаться, пробиваться, лезть, перелезать;kaˈrapkaca, cipˈl’aca, vz’b’iraca, ˈv’ica, vzgramažˈdaca, prab’iˈvaca, l’est’, p’ir’il’iˈzat’
clap;/klæp/;I;наносить легкие удары или хлопать по плечу или спине в дружеской манере;хлопать, бить, шлёпать;ˈxlopat’, b’it’, ˈšl’opat’
clash;/klæʃ/;IC;биться, спорить;сталкиваться, стукаться, расходиться (взглядами), ссориться, ударяться, схлёстываться, конфликтовать, биться, скрещиваться;ˈstalk’ivaca, ˈstukaca, rasxaˈd’ica, ˈsor’ica, udaˈr’aca, ˈsxl’ostыvaca, kanfl’iktaˈvat’, ˈb’ica, ˈskr’ešivaca
climb;/klaɪm/;IC;с трудом достигать удаленного места или покидать его;подниматься, карабкаться, влезать, взбираться, восходить, забираться, преодолевать, штурмовать;padn’iˈmaca, kaˈrapkaca, vl’iˈzat’, vz’b’iˈraca, vasxaˈd’it’, zab’iˈraca, pr’iadal’iˈvat’, šturmaˈvat’
clip;/klɪp/;I;отрезать что-либо ножницами или схожим острым инструментом;стричь, обрезать, отрезать, обрывать, подстригать, подрезать, отделять;str’ič, abr’iˈzat’, atr’iˈzat’, abr’ivat’, pactr’igat’, padr’izat’, atd’il’at’
clobber;/ˈklɒb.ər/;I;наносить сильные многочисленные удары;избивать, колошматить, громить, колотить, поражать, разносить, ударять, бить, мутузить, дубасить, накостылять, мочить;izb’iˈvat’, kalašˈmat’it’, graˈm’it’, kalaˈt’it’, paraˈžat’, raznaˈs’it’, udaˈr’at’, b’it’, muˈtuz’it’, duˈbas’it’, nakastыˈl’at’, ˈmučit’
clock;/klɒk/;I;бить кого-либо, особенно по голове или лицу;ударять, бить, двигать (в лицо), давать (в лицо), заехать (в лицо), стукнуть, настучать, начистить, влеплять, вмазывать, тюкать;udaˈr’at’, b’it’, dv’igat’, daˈvat’, zaˈjexat’, ˈstuknut’, nastuˈčat’, naˈčist’it’, vl’ipˈl’at’, ˈvmazыvat’, ˈt’ukat’
close;/kləʊz/;IC;закрывать;закрывать, прекращать, кончать, заканчивать, заключать, затворять, прикрывать, притворять, завершать, запирать, смыкать;zakrыˈvat’, pr’ikraˈšat’, kan’ˈčat’, zaˈkan’čivat’, zakl’uˈčat’, zatvaˈr’at’, pr’ikrыˈvat’, pr’itvaˈr’at’, zav’ir’iˈšat’, zap’iˈrat’, smыˈkat’
clout;/klaʊt/;IC;бить кого-либо рукой или тяжелым предметом;(давать) затрещину, ударять, бить;zaˈtr’eš’inu, udaˈr’at’, b’it’
clump;/klʌmp/;IC;ходить шумно медленными шагами;ступать, неуклюже (ходить), топать;stuˈpat’, n’iuˈkl’uža, ˈtopat’
coast;/kəʊst/;IC;медленно двигаться на автомобиле, обыкновенно вниз с горы;спускаться, катиться, (ехать) накатом, лететь;spusˈkaca, kaˈt’ica, naˈkatam, l’iˈt’et’
cock;/kɒk/;I;выставить конечность вверх в определенном направлении;поднимать, заламывать, взводить, замахивать, вскидывать, задирать, загибать;padn’iˈm’at’, zaˈlamыvat’, vzvaˈd’it’, zaˈmax’ivat’, fsˈk’idыvat’, zad’iˈrat’, zag’iˈbat’
collapse;/kəˈlæps/;-;внезапно падать из-за недостатка сил или поддержки;рушиться, обваливаться, сваливаться, падать, валиться, (испытывать) коллапс, (терпеть) крах, обессиливать, проваливаться, проламываться, (заканчиваться) провалом, терять (сознание), разваливаться, изнемогать;ˈrušыca, abˈval’ivaca, ˈsval’ivaca, ˈpadat’, vaˈl’ica, kaˈlaps, krax, ab’iˈs’il’ivat’, praˈval’ivaca, praˈlamыvaca, praˈvalam, t’iˈr’at’, razˈval’ivaca, izn’imaˈgat’
collect;/kəˈlekt/;-;приносить что-либо куда-либо;собирать, отбирать, накапливать, забирать, взимать, подбирать, получать, набирать;sab’iˈrat’, atb’iˈrat’, naˈkapl’ivat’, zab’iˈrat’, v’z’iˈmat’, padb’iˈrat’, paluˈčat’, naˈb’iˈrat’
collide;/kəˈlaɪd/;-;сильно ударяться обо что-либо;сталкиваться, стукаться, врезаться, наскакивать, впечатываться, ударяться, налетать, сшибаться;ˈstal’k’ivaca, ˈstukaca, vr’iˈzaca, nasˈkak’ivat’, v’p’iˈčatыvaca, udaˈr’aca, nal’iˈtat’, sšыˈbaca
come;/kʌm/;C;двигаться к говорящему или вместе с говорящим;приходить, подходить, идти, прибывать, приезжать, доходить, достигать, равняться, приближаться, добираться, появляться, подступать, заходить, близиться;pr’ixaˈd’it’, padxaˈd’it’, ˈit’i, pr’ib’iˈvat’, pr’iiˈžat’, daxaˈd’it’, dast’iˈgat’, ravˈn’aca, pr’ibl’iˈžaca, dab’iˈraca, paiˈvl’aca, pactuˈpat’, zaxaˈd’it’, ˈbl’iz’ica
commute;/kəˈmjuːt/;-;совершать регулярные поездки от дома до места работы;(ежедневно) ездить (на работу), совершать (регулярные поездки на работу), добираться (на работу);ˈjez’d’it’, sav’irˈšat’, dab’iˈraca
concuss;/kənˈkʌs/;-;оглушать кого-либо;оглушать, сотрясать, контузить;agluˈšat’, satr’iˈsat’, kanˈtuz’it’
conk;/kɒŋk/;IC;ударять кого-либо, обыкновенно тяжелым предметом по голове;давать (по голове), стукать (по голове), ударять;daˈvat’, ˈstukat’, udaˈr’at’
connect;/kəˈnekt/;-;соединять что-либо с чем-либо;соединять, соединяться, связывать, связываться, сочетать, сочетаться, привязывать, привязываться, состыковывать, состыковываться, смыкать, смыкаться;said’iˈn’at’, said’iˈn’aca, ˈsv’azыvat’, ˈsv’azыvaca, sačiˈtat’, sačiˈtaca, pr’iˈv’azыvat’, pr’iˈv’azыvaca, sastыkaˈvat’, sastыkaˈvaca, smыˈkat’, smыˈkaca
contort;/kənˈtɔːt/;-;заставлять что-либо изменить форму на более неестественную;искривлять, искажать, деформировать, коверкать, кривить, корчить, сгибать, скручивать;iskr’iˈvl’at’, iskaˈžat’, d’ifarˈm’iravat’, kaˈv’erkat’, kr’iˈv’it’, ˈkor’čit’, sg’iˈbat’, ˈskručivat’
convey;/kənˈveɪ/;-;брать или нести что-либо или кого-либо в конкретное место;перевозить, переправлять, транспортировать, доставлять, доводить;p’irivaˈz’it’, p’ir’ipravˈl’at’, transparˈt’iravat’, dastavˈl’at’, davaˈd’it’
convoy;/ˈkɒn.vɔɪ/;-;передвигаться в сопровождении специального транспорта или группы людей в целях безопасности;сопровождать, конвоировать, охранять, сопутствовать, этапировать;sapravažˈdat’, kanvaˈiravat’, axraˈn’at’, saˈpuctvavat’, itaˈp’iravat’
convulse;/kənˈvʌls/;-;трястись или заставлять что-либо сильно трястись;задрожать, (вызывать или испытывать) судороги, (вызывать или испытывать) конвульсии, взволновать, корчить, корчиться, трясти, трястись, дёргать, передёргиваться, крючить, крючиться;zadraˈžat’, ˈsudaragi, kanˈvul’s’ii, vzvalnaˈvat’, ˈkor’čit’, ˈkor’čica, tr’iˈst’i, tr’iˈst’is’, ˈd’orgat’, p’iriˈd’orgыvaca, ˈkr’učit’, ˈkr’učica
course;/kɔːs/;F;течь быстро и в больших количествах;бежать, течь, литься, нестись, быстро (двигаться);biˈžat’, t’eč, ˈl’ica, n’isˈt’is’, ˈbыstra
